Method A,Method B,TP,Acc A,Acc B,n_common,McNemar b,McNemar c,McNemar p,McNemar sig,Bootstrap p,Bootstrap sig,Bootstrap CI
Exp-A,Exp-B,3,0.7808,0.7329,146,15,8,0.21003961563110352,n.s.,0.5487,n.s.,"[-0.0137, 0.1096]"
Exp-A,Exp-C,3,0.7808,0.7671,146,11,9,0.8238029479980469,n.s.,0.685,n.s.,"[-0.0479, 0.0753]"
Exp-A,Exp-D,3,0.7808,0.7603,146,14,11,0.6891565167793516,n.s.,0.6738,n.s.,"[-0.0479, 0.0890]"
Exp-A,Exp-E,3,0.7808,0.7671,146,13,11,0.8388197422027588,n.s.,0.7098,n.s.,"[-0.0548, 0.0822]"
Exp-A,Exp-F,3,0.7808,0.8082,146,3,7,0.34375,n.s.,0.5593,n.s.,"[-0.0685, 0.0137]"
Exp-A,LSTM,3,0.7808,0.8163,18,1,5,0.21875,n.s.,0.5878,n.s.,"[-0.4444, 0.0000]"
Exp-A,RF,3,0.7808,0.7959,18,0,3,0.25,n.s.,0.416,n.s.,"[-0.3333, 0.0000]"
Exp-A,SVM,3,0.7808,0.7755,18,0,3,0.25,n.s.,0.416,n.s.,"[-0.3333, 0.0000]"
Exp-A,Transformer,3,0.7808,0.7823,18,0,0,1.0,n.s.,1.0,n.s.,"[0.0000, 0.0000]"
Exp-B,Exp-C,3,0.7329,0.7671,146,10,15,0.4237107971667936,n.s.,0.5667,n.s.,"[-0.1027, 0.0342]"
Exp-B,Exp-D,3,0.7329,0.7603,146,17,21,0.6264962743469111,n.s.,0.6447,n.s.,"[-0.1096, 0.0548]"
Exp-B,Exp-E,3,0.7329,0.7671,146,7,12,0.359283447265625,n.s.,0.5636,n.s.,"[-0.0959, 0.0205]"
Exp-B,Exp-F,3,0.7329,0.8082,146,5,16,0.02660369873046875,*,0.5388,n.s.,"[-0.1370, -0.0137]"
Exp-B,LSTM,3,0.7329,0.8163,18,0,3,0.25,n.s.,0.599,n.s.,"[-0.3333, 0.0000]"
Exp-B,RF,3,0.7329,0.7959,18,1,3,0.625,n.s.,0.5076,n.s.,"[-0.3333, 0.1111]"
Exp-B,SVM,3,0.7329,0.7755,18,1,3,0.625,n.s.,0.5076,n.s.,"[-0.3333, 0.1111]"
Exp-B,Transformer,3,0.7329,0.7823,18,4,3,1.0,n.s.,0.8016,n.s.,"[-0.2222, 0.3333]"
Exp-C,Exp-D,3,0.7671,0.7603,146,16,15,1.0,n.s.,0.9324,n.s.,"[-0.0685, 0.0822]"
Exp-C,Exp-E,3,0.7671,0.7671,146,12,12,1.0,n.s.,1.0,n.s.,"[-0.0685, 0.0685]"
Exp-C,Exp-F,3,0.7671,0.8082,146,7,13,0.26317596435546875,n.s.,0.4941,n.s.,"[-0.1027, 0.0205]"
Exp-C,LSTM,3,0.7671,0.8163,18,0,3,0.25,n.s.,0.5913,n.s.,"[-0.3333, 0.0000]"
Exp-C,RF,3,0.7671,0.7959,18,1,3,0.625,n.s.,0.508,n.s.,"[-0.3333, 0.1111]"
Exp-C,SVM,3,0.7671,0.7755,18,1,3,0.625,n.s.,0.508,n.s.,"[-0.3333, 0.1111]"
Exp-C,Transformer,3,0.7671,0.7823,18,2,1,1.0,n.s.,0.7114,n.s.,"[-0.1111, 0.2222]"
Exp-D,Exp-E,3,0.7603,0.7671,146,17,18,1.0,n.s.,0.9331,n.s.,"[-0.0890, 0.0685]"
Exp-D,Exp-F,3,0.7603,0.8082,146,11,18,0.2652053925915073,n.s.,0.5334,n.s.,"[-0.1233, 0.0205]"
Exp-D,LSTM,3,0.7603,0.8163,18,1,4,0.375,n.s.,0.5915,n.s.,"[-0.3889, 0.0556]"
Exp-D,RF,3,0.7603,0.7959,18,1,3,0.625,n.s.,0.512,n.s.,"[-0.3333, 0.1111]"
Exp-D,SVM,3,0.7603,0.7755,18,1,3,0.625,n.s.,0.512,n.s.,"[-0.3333, 0.1111]"
Exp-D,Transformer,3,0.7603,0.7823,18,2,1,1.0,n.s.,0.7073,n.s.,"[-0.1111, 0.2222]"
Exp-E,Exp-F,3,0.7671,0.8082,146,9,15,0.30745625495910645,n.s.,0.5059,n.s.,"[-0.1096, 0.0205]"
Exp-E,LSTM,3,0.7671,0.8163,18,1,3,0.625,n.s.,0.6329,n.s.,"[-0.3333, 0.1111]"
Exp-E,RF,3,0.7671,0.7959,18,1,2,1.0,n.s.,0.6937,n.s.,"[-0.2222, 0.1111]"
Exp-E,SVM,3,0.7671,0.7755,18,1,2,1.0,n.s.,0.6937,n.s.,"[-0.2222, 0.1111]"
Exp-E,Transformer,3,0.7671,0.7823,18,4,2,0.6875,n.s.,0.5645,n.s.,"[-0.1667, 0.3889]"
Exp-F,LSTM,3,0.8082,0.8163,18,1,4,0.375,n.s.,0.5932,n.s.,"[-0.3889, 0.0556]"
Exp-F,RF,3,0.8082,0.7959,18,0,2,0.5,n.s.,0.4584,n.s.,"[-0.2778, 0.0000]"
Exp-F,SVM,3,0.8082,0.7755,18,0,2,0.5,n.s.,0.4584,n.s.,"[-0.2778, 0.0000]"
Exp-F,Transformer,3,0.8082,0.7823,18,1,0,1.0,n.s.,0.5518,n.s.,"[0.0000, 0.1667]"
LSTM,RF,3,0.8163,0.7959,147,13,10,0.6776394844055176,n.s.,0.6469,n.s.,"[-0.0408, 0.0816]"
LSTM,SVM,3,0.8163,0.7755,147,15,9,0.30745625495910645,n.s.,0.518,n.s.,"[-0.0204, 0.1088]"
LSTM,Transformer,3,0.8163,0.7823,147,15,10,0.4237107971667936,n.s.,0.5374,n.s.,"[-0.0340, 0.1020]"
RF,SVM,3,0.7959,0.7755,147,9,6,0.6072387695312499,n.s.,0.6069,n.s.,"[-0.0272, 0.0748]"
RF,Transformer,3,0.7959,0.7823,147,14,12,0.8445192674729399,n.s.,0.7659,n.s.,"[-0.0544, 0.0816]"
SVM,Transformer,3,0.7755,0.7823,147,11,12,1.0,n.s.,0.9039,n.s.,"[-0.0680, 0.0544]"
