Method A,Method B,TP,Acc A,Acc B,n_common,McNemar b,McNemar c,McNemar p,McNemar sig,Bootstrap p,Bootstrap sig,Bootstrap CI
Exp-F,LSTM,4,0.8276,0.8356,18,1,3,0.625,n.s.,0.6242,n.s.,"[-0.3333, 0.1111]"
Exp-F,RF,4,0.8276,0.8014,18,2,3,1.0,n.s.,0.7458,n.s.,"[-0.2778, 0.1667]"
Exp-F,SVM,4,0.8276,0.7945,18,2,3,1.0,n.s.,0.7458,n.s.,"[-0.2778, 0.1667]"
Exp-F,Transformer,4,0.8276,0.7740,18,2,2,1.0,n.s.,1.0,n.s.,"[-0.2222, 0.2222]"
LSTM,RF,4,0.8356,0.8014,146,11,6,0.332305908203125,n.s.,0.5318,n.s.,"[-0.0205, 0.0890]"
LSTM,SVM,4,0.8356,0.7945,146,14,8,0.28627872467041016,n.s.,0.5023,n.s.,"[-0.0205, 0.1027]"
LSTM,Transformer,4,0.8356,0.7740,146,15,6,0.0783538818359375,n.s.,0.5171,n.s.,"[0.0000, 0.1233]"
RF,SVM,4,0.8014,0.7945,146,9,8,1.0,n.s.,0.8631,n.s.,"[-0.0479, 0.0616]"
RF,Transformer,4,0.8014,0.7740,146,15,11,0.5562984612747348,n.s.,0.6055,n.s.,"[-0.0411, 0.0959]"
SVM,Transformer,4,0.7945,0.7740,146,13,10,0.6776394844055176,n.s.,0.661,n.s.,"[-0.0479, 0.0822]"
