Method A,Method B,TP,Acc A,Acc B,n_common,McNemar b,McNemar c,McNemar p,McNemar sig,Bootstrap p,Bootstrap sig,Bootstrap CI
Exp-A,Exp-B,4,0.7517,0.7517,145,14,14,0.8501067391385259,n.s.,1.0,n.s.,"[-0.0690, 0.0690]"
Exp-A,Exp-C,4,0.7517,0.7034,145,19,12,0.2811980995641793,n.s.,0.5423,n.s.,"[-0.0276, 0.1241]"
Exp-A,Exp-D,4,0.7517,0.8000,145,9,16,0.23013934044341644,n.s.,0.4699,n.s.,"[-0.1172, 0.0207]"
Exp-A,Exp-E,4,0.7517,0.7379,145,12,10,0.8318119049072266,n.s.,0.7707,n.s.,"[-0.0483, 0.0759]"
Exp-A,Exp-F,4,0.7517,0.8276,145,6,17,0.03468966484069824,*,0.5132,n.s.,"[-0.1379, -0.0138]"
Exp-A,LSTM,4,0.7517,0.8356,18,1,4,0.375,n.s.,0.5943,n.s.,"[-0.3889, 0.0556]"
Exp-A,RF,4,0.7517,0.8014,18,0,2,0.5,n.s.,0.4584,n.s.,"[-0.2778, 0.0000]"
Exp-A,SVM,4,0.7517,0.7945,18,0,2,0.5,n.s.,0.4584,n.s.,"[-0.2778, 0.0000]"
Exp-A,Transformer,4,0.7517,0.7740,18,0,1,1.0,n.s.,0.5595,n.s.,"[-0.1667, 0.0000]"
Exp-B,Exp-C,4,0.7517,0.7034,145,18,11,0.2652053925915073,n.s.,0.5459,n.s.,"[-0.0276, 0.1241]"
Exp-B,Exp-D,4,0.7517,0.8000,145,8,15,0.21003961563110352,n.s.,0.4667,n.s.,"[-0.1103, 0.0138]"
Exp-B,Exp-E,4,0.7517,0.7379,145,10,8,0.8145294189453125,n.s.,0.7586,n.s.,"[-0.0414, 0.0690]"
Exp-B,Exp-F,4,0.7517,0.8276,145,6,17,0.03468966484069824,*,0.5021,n.s.,"[-0.1379, -0.0138]"
Exp-B,LSTM,4,0.7517,0.8356,18,1,4,0.375,n.s.,0.5937,n.s.,"[-0.3889, 0.0556]"
Exp-B,RF,4,0.7517,0.8014,18,1,3,0.625,n.s.,0.5136,n.s.,"[-0.3333, 0.1111]"
Exp-B,SVM,4,0.7517,0.7945,18,1,3,0.625,n.s.,0.5136,n.s.,"[-0.3333, 0.1111]"
Exp-B,Transformer,4,0.7517,0.7740,18,2,3,1.0,n.s.,0.7773,n.s.,"[-0.2778, 0.1667]"
Exp-C,Exp-D,4,0.7034,0.8000,145,11,25,0.030260280020471764,*,0.4854,n.s.,"[-0.1793, -0.0138]"
Exp-C,Exp-E,4,0.7034,0.7379,145,14,19,0.48623432138829725,n.s.,0.5341,n.s.,"[-0.1103, 0.0414]"
Exp-C,Exp-F,4,0.7034,0.8276,145,6,24,0.0019107751373644843,**,0.5165,n.s.,"[-0.1931, -0.0552]"
Exp-C,LSTM,4,0.7034,0.8356,18,0,6,0.03125,*,0.5884,n.s.,"[-0.5556, -0.1111]"
Exp-C,RF,4,0.7034,0.8014,18,1,6,0.125,n.s.,0.5363,n.s.,"[-0.5000, 0.0000]"
Exp-C,SVM,4,0.7034,0.7945,18,1,6,0.125,n.s.,0.5363,n.s.,"[-0.5000, 0.0000]"
Exp-C,Transformer,4,0.7034,0.7740,18,0,4,0.125,n.s.,0.5934,n.s.,"[-0.4444, -0.0556]"
Exp-D,Exp-E,4,0.8000,0.7379,145,17,8,0.10959858339911566,n.s.,0.5267,n.s.,"[-0.0069, 0.1310]"
Exp-D,Exp-F,4,0.8000,0.8276,145,12,16,0.5707503880581739,n.s.,0.6183,n.s.,"[-0.1034, 0.0414]"
Exp-D,LSTM,4,0.8000,0.8356,18,1,1,1.0,n.s.,1.0,n.s.,"[-0.1667, 0.1667]"
Exp-D,RF,4,0.8000,0.8014,18,1,0,1.0,n.s.,0.65,n.s.,"[0.0000, 0.1667]"
Exp-D,SVM,4,0.8000,0.7945,18,1,0,1.0,n.s.,0.65,n.s.,"[0.0000, 0.1667]"
Exp-D,Transformer,4,0.8000,0.7740,18,2,0,0.5,n.s.,0.6055,n.s.,"[0.0000, 0.2778]"
Exp-E,Exp-F,4,0.7379,0.8276,145,5,18,0.010622024536132812,*,0.5358,n.s.,"[-0.1517, -0.0276]"
Exp-E,LSTM,4,0.7379,0.8356,18,1,3,0.625,n.s.,0.6328,n.s.,"[-0.3333, 0.1111]"
Exp-E,RF,4,0.7379,0.8014,18,0,1,1.0,n.s.,0.5436,n.s.,"[-0.1667, 0.0000]"
Exp-E,SVM,4,0.7379,0.7945,18,0,1,1.0,n.s.,0.5436,n.s.,"[-0.1667, 0.0000]"
Exp-E,Transformer,4,0.7379,0.7740,18,2,2,1.0,n.s.,1.0,n.s.,"[-0.2222, 0.2222]"
