Method,TP,Best Epoch,Best_Accuracy,Best_Precision,Best_Recall,Best_F1,Mean_Accuracy,Std_Accuracy,CI_lo_Accuracy,CI_hi_Accuracy,Mean_Precision,Std_Precision,CI_lo_Precision,CI_hi_Precision,Mean_Recall,Std_Recall,CI_lo_Recall,CI_hi_Recall,Mean_F1,Std_F1,CI_lo_F1,CI_hi_F1
Exp-G,3,140.0,0.863,0.8193,0.7968,0.8024,0.7889809523809522,0.04639357303601028,0.7690857142857142,0.8075715476190476,0.7218238095238095,0.09367250879933721,0.6811235714285714,0.7584621428571429,0.6603428571428571,0.06829013524242407,0.6314944047619048,0.6878525000000002,0.6676095238095239,0.08034693463201882,0.6335846428571429,0.7001194047619047
Exp-H,3,260.0,0.8425,0.8123,0.7639,0.7791,0.802347619047619,0.027257138863931035,0.7909332142857141,0.8134523809523808,0.769047619047619,0.035587885846838654,0.7530330952380953,0.7827809523809525,0.6932380952380952,0.05065585332605184,0.6718278571428572,0.7142295238095238,0.6995714285714285,0.058295318361401394,0.6750809523809523,0.7236147619047619
Exp-I,3,230.0,0.8356,0.7963,0.7591,0.7554,0.8157333333333332,0.013337366056809461,0.8101857142857141,0.8212761904761905,0.765747619047619,0.022684325404287844,0.7563094047619047,0.7750905952380953,0.7177857142857142,0.024994885191060297,0.7072094047619047,0.728224404761905,0.7266857142857143,0.021559737607732738,0.7175665476190476,0.7354810714285714
Exp-J,3,180.0,0.8493,0.8421,0.767,0.799,0.8134428571428571,0.0399910186345456,0.7951809523809523,0.8281285714285713,0.7682190476190476,0.0786245293725032,0.7330791666666667,0.7977858333333335,0.7009904761904762,0.06189139604793145,0.6737708333333332,0.7248671428571428,0.7217380952380952,0.06996719571478105,0.6904998809523808,0.7485670238095238
SVM,4,,0.7945,0.8212,0.6895,0.7216,,,,,,,,,,,,,,,,
RF,4,,0.8014,0.7666,0.7077,0.7318,,,,,,,,,,,,,,,,
LSTM,4,100.0,0.8356,0.767,0.7507,0.7549,0.7869900000000001,0.044553225347766796,0.75892,0.81165,0.7148500000000001,0.039001972884572,0.69064975,0.7366499999999999,0.70378,0.049101794490855645,0.6721177500000001,0.72973025,0.7036199999999999,0.04640550254729138,0.67403,0.7285309999999999
Transformer,4,60.0,0.7945,0.7852,0.7126,0.7371,0.77055,0.024862745445970183,0.7554700000000001,0.7842600000000001,0.7333000000000001,0.04382503089939965,0.70833875,0.7591902500000001,0.6662800000000001,0.030686580490863147,0.64818,0.6837510000000001,0.6856099999999999,0.03296811422504411,0.667079,0.70504025
Exp-A,4,330.0,0.7862,0.7498,0.6798,0.7055,0.7576142857142857,0.01484473932793316,0.7513714285714285,0.7635285714285716,0.6807190476190477,0.028384090949819397,0.669352380952381,0.6929289285714286,0.6377047619047618,0.02794298617167599,0.6260707142857144,0.649200476190476,0.6446761904761905,0.02719534711604,0.6333280952380952,0.6559241666666668
Exp-B,4,270.0,0.7655,0.687,0.6451,0.6567,0.7070428571428571,0.03331215350932106,0.692604761904762,0.7208333333333333,0.6150190476190477,0.07328764983984423,0.5833804761904763,0.6435525000000002,0.5785285714285714,0.03502873310379841,0.5631238095238096,0.5921763095238095,0.5599047619047619,0.050002874679266944,0.5383904761904763,0.5801382142857142
Exp-C,4,450.0,0.7931,0.7061,0.7121,0.7004,0.7661571428571428,0.01541416787986206,0.7595857142857142,0.7727285714285714,0.6641666666666667,0.02877045938690124,0.6526380952380952,0.6765147619047619,0.656204761904762,0.030227859272374494,0.643447619047619,0.6688142857142857,0.6523666666666668,0.025757646113985903,0.6416475,0.6631051190476192
Exp-D,4,610.0,0.8552,0.8324,0.7913,0.8053,0.8082142857142859,0.02503274427054064,0.7973714285714286,0.8183999999999999,0.7695761904761905,0.03028118070290366,0.7569139285714285,0.7823285714285714,0.7079095238095239,0.050045758109573124,0.6863950000000001,0.7280725000000001,0.7225476190476191,0.04143594597746767,0.7048377380952381,0.7395190476190476
Exp-E,4,310.0,0.7793,0.7174,0.6735,0.6764,0.7415238095238095,0.030803667066794264,0.7277333333333333,0.7530142857142856,0.6609857142857143,0.055446003334003124,0.6376278571428572,0.6831716666666666,0.6261380952380952,0.025721128983590053,0.6152948809523809,0.6367096428571428,0.6170380952380954,0.03319202428582018,0.6029803571428571,0.630647619047619
Exp-F,4,210.0,0.8276,0.7601,0.7552,0.7509,0.774047619047619,0.041666804761675905,0.7556617857142857,0.7904714285714285,0.7044714285714286,0.05087321636044984,0.6832092857142856,0.7260428571428571,0.6719952380952381,0.03788827623672626,0.6559283333333333,0.6875857142857142,0.6664904761904761,0.03965682671069265,0.6500710714285715,0.6831334523809522
