Method,TP,Best Epoch,Best_Accuracy,Mean_Accuracy,Std_Accuracy,Best_Precision,Mean_Precision,Std_Precision,Best_Recall,Mean_Recall,Std_Recall,Best_F1,Mean_F1,Std_F1
SWC-PSWM,3,200,0.8425,0.811490476190476,0.022888685081539854,0.8129,0.7576666666666666,0.04799395100773985,0.7343,0.7085857142857144,0.041012026110816384,0.7617,0.7186333333333332,0.042060151370784844
Exp-A,3,140,0.863,0.7889809523809522,0.04639357303601028,0.8193,0.7218238095238095,0.09367250879933721,0.7968,0.6603428571428571,0.06829013524242407,0.8024,0.6676095238095239,0.08034693463201882
Exp-B,3,260,0.8425,0.802347619047619,0.027257138863931035,0.8123,0.769047619047619,0.035587885846838654,0.7639,0.6932380952380952,0.05065585332605184,0.7791,0.6995714285714285,0.058295318361401394
Exp-C,3,230,0.8356,0.8157333333333332,0.013337366056809461,0.7963,0.765747619047619,0.022684325404287844,0.7591,0.7177857142857142,0.024994885191060297,0.7554,0.7266857142857143,0.021559737607732738
Exp-D,3,180,0.8493,0.8134428571428571,0.0399910186345456,0.8421,0.7682190476190476,0.0786245293725032,0.767,0.7009904761904762,0.06189139604793145,0.799,0.7217380952380952,0.06996719571478105
