ion,psi,theta_ca,theta_an,phi_ca,phi_an
Ca,0.4348444938659668,0.4110400825738907,0.24564702808856964,0.3695753514766693,0.3209861218929291
Na,0.43956632912158966,0.42862111578385037,0.28492070734500885,0.4425078307588895,0.41848424325386685
Ni,0.40577900409698486,0.360302671790123,0.3087448328733444,0.4401817321777344,0.3880797326564789
Cr,0.4046011418104172,0.3131820410490036,0.3103381246328354,0.4291844069957733,0.42368054389953613
Fe,0.26134951785206795,0.18394217267632484,0.17653032392263412,0.34028884768486023,0.3168920874595642
Cu,0.33983865194022655,0.24958677403628826,0.24918909557163715,0.3797769173979759,0.37698831781744957
